X	Y	Z	Speed	Pause
81.500	56.230	0	2000	2000
81.500	56.230	-46.688	2000	2000
81.500	56.230	-47.188	200	2000
79.500	56.230	-47.188	200	2000
81.500	56.230	-47.188	200	2000
79.500	56.230	-47.188	200	2000
81.500	56.230	-47.188	200	2000
79.500	56.230	-47.188	200	2000
81.500	56.230	-47.188	200	2000
79.500	56.230	-47.188	200	2000
74.715	27.085	0	2000	2000
4.525	-93.720	0	2000	2000
4.525	-93.720	-13.055	2000	2000
4.525	-93.720	0	2000	2000
-80.000	-9.565	0	2000	2000
-80.000	-9.425	-33.727	2000	2000
-80.000	-9.565	0	2000	2000
-78.960	-96.300	0	2000	2000
