X	Y	Z	Speed	Pause
-80.000	-96.300	0.000	2000	2000
76.000	64.765	0.000	2000	2000
76.000	64.765	-20	2000	2000
76.000	64.765	-30	200	2000
76.000	64.765	0.000	2000	2000
74.870	55.770	0.000	2000	2000
74.870	55.770	-20	2000	2000
74.870	55.770	-30	200	2000
74.870	55.770	0.000	2000	2000
-55.105	-65.630	0.000	2000	2000
-55.105	-65.630	-20	2000	2000
-55.105	-65.630	-30	200	2000
-55.105	-65.630	0.000	2000	2000
-75.745	52.165	0	1000	2000
-75.745	52.165	-25.160	1000	2000
-78.490	52.125	-25.160	1000	2000
-73.065	52.010	-25.138	1000	2000
-70.315	52.060	-25.138	1000	2000
-70.360	52.115	0	1000	2000
-80.000	-96.300	0.000	2000	2000
