X	Y	Z	Speed	Pause	Dispensen
-15	-15	0	2000	0	0
-15.000	-15.000	-13.321	500	0	0
-15	15	-13.321	500	0	1
15	15	-13.321	500	0	1
15	-15	-13.321	500	0	1
-15	-10	-13.321	500	0	1
-15	10	-13.321	500	0	1
10	10	-13.321	500	0	1
10	-10	-13.321	500	0	1
-5	-10	-13.321	500	0	1
-5	5	-13.321	500	0	1
5	5	-13.321	500	0	1
5	-5	-13.321	500	0	1
-5	-5	-13.321	500	0	1
-5	-5	0	2000	0	0
