X	Y	Z	Speed	Pause	Dispensen
-5	-5	0	4000	0	0
-5	-5	-24	4000	-1	0
-5	5	-24	200	0	1
-3	5	-24	200	0	0
-3	-5	-24	200	0	1
-1	-5	-24	200	0	0
-1	5	-24	200	0	1
1	5	-24	200	0	0
1	-5	-24	200	0	1
3	-5	-24	200	0	0
3	5	-24	200	0	1
5	5	-24	200	0	0
5	-5	-24	200	0	1
0	0	0	4000	0	0
